AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,按等级加上复活标记，骷髅标记与只复活一次的标记，出生无法被搜索标记。,BornStatus_2,Is_FindTarget(0*1),Is_MyBuff(1*161207),,,Do_AddBuffForMe([401+1]*[161207+1]),,,
2,复活,DeathStatus_1,Is_MyBuff(0*40003),Is_RandomForAI(0*50),Is_FindTarget(0*1),,Do_DelBuffForMe([40003]),Do_Count(41),Do_Count(40006),Do_ChangeStatus(43)
3,正常死亡无法被搜索,DeathStatus_1,Is_FindTarget(0*1),,,,Do_Count(41),Do_ChangeStatus(42),,
4,假死状态让自己无法被搜索,SkillStatus_43,Is_MyBuff(1*40),,,,Do_AddBuffForMe([40+1]),,,
5,复活让自己可以被搜索,SkillStatus_49,Is_MyBuff(0*40),,,,Do_DelBuffForMe([40]),,,
6,普攻,MoveStatus_4,Is_FindTarget(0*11),Is_SkillReady(0*40001),,,Do_CastSkill(40001),,,
