AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,释放治疗,StandStatus_3,Is_SkillReady(0*180001),Is_FindTarget(0*180001),,,Do_CastSkill(180001),,,
2,召唤传送门1,StandStatus_3,Is_MyBuff(1*180005),Is_MyBuff(1*180004),Is_HasTarget(0*12),,Do_AddBuffForMe([180001+1]*[180004+1]),,,
3,召唤传送门2,StandStatus_3,Is_MyBuff(1*180005),Is_RandomForAI(0*40),Is_MyBuff(1*180004),Is_HasTarget(1*12),Do_AddBuffForMe([180002+1]*[180004+1]),,,
4,召唤传送门3,StandStatus_3,Is_MyBuff(1*180005),Is_RandomForAI(0*75),Is_MyBuff(1*180004),Is_HasTarget(1*12),Do_AddBuffForMe([180003+1]*[180004+1]),,,
5,召唤传送门4,StandStatus_3,Is_MyBuff(1*180005),Is_MyBuff(1*180004),Is_HasTarget(1*12),,Do_AddBuffForMe([180006+1]*[180004+1]),,,
6,召唤熊1,StandStatus_3,Is_SkillReady(0*180003),Is_MyBuff(1*180007),Is_HasTarget(0*12),,Do_LockPointsForMe(300*0),Do_CastSkill(180003),,
7,召唤熊2,StandStatus_3,Is_SkillReady(0*180003),Is_MyBuff(1*180007),Is_HasTarget(1*12),,Do_LockPointsForMe(1300*0),Do_CastSkill(180003),,
8,回春术,StandStatus_3,Is_SkillReady(0*1308),Is_FindTarget(0*1360),,,Do_CastSkill(1308),,,
