AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,无法被搜索,BornStatus_2,Is_FindTarget(0*1),,,,Do_Count(41),,,
2,找到牛头人Boss嗜血化,StandStatus_3,Is_FindTarget(0*105708),Is_SkillReady(0*105708),,,Do_CastSkill(105708),,,
3,找到精灵弓手Boss嗜血化,StandStatus_3,Is_FindTarget(0*105706),Is_SkillReady(0*105706),,,Do_CastSkill(105706),,,
4,找到夜刃Boss嗜血化,StandStatus_3,Is_FindTarget(0*105704),Is_SkillReady(0*105704),,,Do_CastSkill(105704),,,
5,找到狼人嗜血化,StandStatus_3,Is_FindTarget(0*105702),Is_SkillReady(0*105702),,,Do_CastSkill(105702),,,
6,找到小精灵嗜血化,StandStatus_3,Is_FindTarget(0*105707),Is_SkillReady(0*105707),,,Do_CastSkill(105707),,,
7,找到精灵弓手嗜血化,StandStatus_3,Is_FindTarget(0*105703),Is_SkillReady(0*105703),,,Do_CastSkill(105703),,,
8,找到夜刃嗜血化,StandStatus_3,Is_FindTarget(0*105705),Is_SkillReady(0*105705),,,Do_CastSkill(105705),,,
