AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,燃烧弹1,StandStatus_3,Is_SkillReady(0*20902),Is_RandomForAI(0*10),,,Do_LockPointsForMe(300*0),Do_CastSkill(20902),,
2,燃烧弹2,StandStatus_3,Is_SkillReady(0*20902),Is_RandomForAI(0*22),,,Do_LockPointsForMe(600*0),Do_CastSkill(20902),,
3,燃烧弹3,StandStatus_3,Is_SkillReady(0*20902),Is_RandomForAI(0*57),,,Do_LockPointsForMe(900*0),Do_CastSkill(20902),,
4,燃烧弹4,StandStatus_3,Is_SkillReady(0*20902),Is_RandomForAI(0*67),,,Do_LockPointsForMe(1200*0),Do_CastSkill(20902),,
5,普通攻击1,StandStatus_3,Is_SkillReady(0*20905),Is_RandomForAI(0*10),,,Do_LockPointsForMe(300*0),Do_CastSkill(20905),,
6,普通攻击2,StandStatus_3,Is_SkillReady(0*20905),Is_RandomForAI(0*22),,,Do_LockPointsForMe(600*0),Do_CastSkill(20905),,
7,普通攻击3,StandStatus_3,Is_SkillReady(0*20905),Is_RandomForAI(0*57),,,Do_LockPointsForMe(900*0),Do_CastSkill(20905),,
8,普通攻击4,StandStatus_3,Is_SkillReady(0*20905),Is_RandomForAI(0*67),,,Do_LockPointsForMe(1200*0),Do_CastSkill(20905),,
