AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,给予自己计时buff,BornStatus_2,Is_MyBuff(1*161201),,,,Do_AddBuffForMe([161201+1]),,,
2,召唤骷髅,StandStatus_3,Is_MyBuff(0*161201),Is_RandomForAI(0*50),Is_SkillReady(0*161205),,Do_CastSkill(161205),Do_AddBuffForMe([161202+1]),,
3,召唤幽灵,StandStatus_3,Is_MyBuff(0*161201),Is_SkillReady(0*161205),,,Do_CastSkill(161205),Do_AddBuffForMe([161203+1]),,
4,召唤骷髅,StandStatus_3,Is_MyBuff(1*161201),Is_RandomForAI(0*25),Is_SkillReady(0*161205),,Do_CastSkill(161205),Do_AddBuffForMe([161202+1]),,
5,召唤幽灵,StandStatus_3,Is_MyBuff(1*161201),Is_RandomForAI(0*50),Is_SkillReady(0*161205),,Do_CastSkill(161205),Do_AddBuffForMe([161204+1]),,
6,召唤死亡骑士,StandStatus_3,Is_MyBuff(1*161201),Is_RandomForAI(0*75),Is_SkillReady(0*161205),,Do_CastSkill(161205),Do_AddBuffForMe([161205+1]),,
7,召唤将军,StandStatus_3,Is_MyBuff(1*161201),Is_SkillReady(0*161205),,,Do_CastSkill(161205),Do_AddBuffForMe([161206+1]),,
