AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,庇护光环,BornStatus_2,Is_MyBuff(1*110701),,,,Do_AddBuffForMe([110701+1]),Do_Clear(),,
2,召唤兵营3,BornStatus_2,Is_SkillReady(0*110702),,,,Do_LockPoints(1200*500),Do_CastSkill(110702),Do_Clear(),
3,大招,StandStatus_3,Is_MyHpLessThan(0*60.5),Is_SkillReady(0*110704),Is_FindTarget(0*15),,Do_CastSkill(110704),Do_Clear(),,
4,圣光审判,StandStatus_3,Is_SkillReady(0*110703),Is_FindTarget(0*110702),,,Do_CastSkill(110703),Do_Clear(),,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,s,,,,
