.,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,出生添加召唤BUFF,BornStatus_2,Is_MyBuff(1*162302),,,,Do_AddBuffForMe([162302+1]*[162306+1]*[162307+1]*[162308+1]),,,
2,滋养失效,SkillStatus_39,Is_MyBuff(1*162303),,,,Do_ChangeStatus(40),,,
3,进入滋养状态,StandStatus_3,Is_MyBuff(0*162303),,,,Do_ChangeStatus(38),,,
4,释放滋养技能,SkillStatus_39,Is_FindTarget(0*26),Is_SkillReady(0*162303),,,Do_CastSkill(162303),,,
5,攻击敌人2,StandStatus_3,Is_FindTarget(0*11),Is_SkillReady(0*162302),,,Do_CastSkill(162302),,,
6,攻击敌人1,StandStatus_3,Is_FindTarget(0*11),Is_SkillReady(0*162301),,,Do_CastSkill(162301),,,
