AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,死亡跳隐匿,DeathStatus_1,Is_MyBuff(0*40906),Is_FindTarget(0*1),,,Do_Count(40006),Do_ChangeStatus(43),,
2,血腥之鞭,MoveStatus_4,Is_SkillReady(0*40902),Is_FindTarget(0*12),,,Do_CastSkill(40902),,,
3,绞杀附带诅咒的单位,MoveStatus_4,Is_MyBuff(0*40911),Is_SkillReady(0*40907),Is_FindTarget(0*401),,Do_CastSkill(40907),,,
4,普通攻击1,MoveStatus_4,Is_SkillReady(0*40901),Is_FindTarget(0*11),,,Do_CastSkill(40901),,,
5,显形延时开三搜-召唤师,SkillStatus_44,Is_FindTarget(0*17),,,,Do_ChangeStatus(45),,,
6,鲜血盛宴回血前开搜索,SkillStatus_45,Is_MyBuff(0*40906),Is_MyBuff(1*40901),,,Do_DelBuffForMe([40906]),Do_AddBuffForMe([40901+1]),,
7,复活让自己可以被搜索,SkillStatus_49,Is_MyBuff(0*928),,,,Do_DelBuffForMe([928]),,,
8,天赋死亡判断,SkillStatus_50,Is_MyBuff(0*928),Is_RandomForAI(0*15),Is_FindTarget(0*1),,Do_Count(40006),Do_ChangeStatus(47),,
9,天赋未触发死亡,SkillStatus_50,,,,,Do_ChangeStatus(42),,,
