AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,庇护光环,BornStatus_2,Is_MyBuff(1*170101),,,,Do_AddBuffForMe([170101+1]),,,
2,圣光审判动作释放,StandStatus_3,Is_SkillReady(0*170103),,,,Do_CastSkill(170103),,,
3,加标记,SkillStatus_33,Is_MyBuff(1*170102),,,,Do_AddBuffForMe([170102+1]),,,
4,圣光审判技能释放,SkillStatus_33,Is_SkillReady(0*170104),Is_MyBuff(0*170103),,,Do_CastSkill(170104),,,
5,圣光大宝剑,StandStatus_3,Is_FindTarget(0*12),Is_SkillReady(0*170101),,,Do_CastSkill(170101),,,
6,圣光领域,StandStatus_3,Is_SkillReady(0*170102),Is_HasTarget(0*15),Is_HasTarget(0*26),,Do_LockPointsForMe(900*0),Do_CastSkill(170102),,
