AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,召唤栅栏,BornStatus_2,Is_MyBuff(1*161001),Is_MyBuff(1*161004),Is_MyBuff(1*161005),,Do_AddBuffForMe([161001+1]),Do_AddBuffForMe([161004+1]),Do_AddBuffForMe([161005+1]),
2,反伤BUFF,BornStatus_2,Is_MyBuff(1*161002),,,,Do_AddBuffForMe([161002+1]),,,
3,火雨技能1,StandStatus_3,Is_SkillReady(0*161004),Is_RandomForAI(0*20),Is_FindTarget(0*1),,Do_LockPointsForMe(500*0),Do_CastSkill(161004),,
4,火雨技能1,StandStatus_3,Is_SkillReady(0*161004),Is_RandomForAI(0*70),Is_FindTarget(0*1),,Do_LockPointsForMe(1000*0),Do_CastSkill(161004),,
5,火雨技能1,StandStatus_3,Is_SkillReady(0*161004),Is_RandomForAI(0*100),Is_FindTarget(0*1),,Do_LockPointsForMe(1500*00),Do_CastSkill(161004),,
6,燃烧弹1,StandStatus_3,Is_SkillReady(0*161003),Is_RandomForAI(0*10),Is_FindTarget(0*1),,Do_LockPointsForMe(250*70),Do_CastSkill(161003),Do_AddBuffForMe([161003+1]),
7,燃烧弹2,StandStatus_3,Is_SkillReady(0*161003),Is_RandomForAI(0*50),Is_FindTarget(0*1),,Do_LockPointsForMe(600*70),Do_CastSkill(161003),Do_AddBuffForMe([161003+1]),
8,燃烧弹3,StandStatus_3,Is_SkillReady(0*161003),Is_RandomForAI(0*65),Is_FindTarget(0*1),,Do_LockPointsForMe(900*70),Do_CastSkill(161003),Do_AddBuffForMe([161003+1]),
9,燃烧弹4,StandStatus_3,Is_SkillReady(0*161003),Is_RandomForAI(0*80),Is_FindTarget(0*1),,Do_LockPointsForMe(1200*70),Do_CastSkill(161003),Do_AddBuffForMe([161003+1]),
9,燃烧弹5,StandStatus_3,Is_SkillReady(0*161003),Is_RandomForAI(0*100),Is_FindTarget(0*1),,Do_LockPointsForMe(1550*70),Do_CastSkill(161003),Do_AddBuffForMe([161003+1]),
10,普通攻击1,StandStatus_3,Is_SkillReady(0*161002),Is_RandomForAI(0*10),Is_FindTarget(0*1),,Do_LockPointsForMe(250*70),Do_CastSkill(161002),Do_AddBuffForMe([161003+1]),
11,普通攻击2,StandStatus_3,Is_SkillReady(0*161002),Is_RandomForAI(0*50),Is_FindTarget(0*1),,Do_LockPointsForMe(600*70),Do_CastSkill(161002),Do_AddBuffForMe([161003+1]),
12,普通攻击3,StandStatus_3,Is_SkillReady(0*161002),Is_RandomForAI(0*65),Is_FindTarget(0*1),,Do_LockPointsForMe(900*70),Do_CastSkill(161002),Do_AddBuffForMe([161003+1]),
13,普通攻击4,StandStatus_3,Is_SkillReady(0*161002),Is_RandomForAI(0*80),Is_FindTarget(0*1),,Do_LockPointsForMe(1200*70),Do_CastSkill(161002),Do_AddBuffForMe([161003+1]),
13,普通攻击5,StandStatus_3,Is_SkillReady(0*161002),Is_RandomForAI(0*100),Is_FindTarget(0*1),,Do_LockPointsForMe(1550*70),Do_CastSkill(161002),Do_AddBuffForMe([161003+1]),
