AI顺序值,描述,所需状态,AI条件组,,,,AI动作组,,,
,,对应角色状态标签,条件1,条件2,条件3,条件4,动作1,动作2,动作3,动作4
AI_Order,null,AI_NeedRoleStatus,AI_Condition1,AI_Condition2,AI_Condition3,AI_Condition4,AI_Action1,AI_Action2,AI_Action3,AI_Action4
int,null,string,function,function,function,function,function,function,function,function
1,喷火起手,MoveStatus_4,Is_MyAttribute(0*303*0*20.0),Is_HasTarget(0*12),,,Do_ChangeStatus(34),Do_AddBuffForMe([30601+1]*[30603+1]),,
2,清除怒意,MoveStatus_4,Is_MyBuff(0*30602),Is_HasTarget(1*12),,,Do_DelBuffForMe([30602+30603]),,,
3,清除怒意,MoveStatus_4,Is_MyAttribute(0*303*1*0.0),Is_MyBuff(0*30602),,,Do_DelBuffForMe([30602+30603]),,,
4,普通技能,MoveStatus_4,Is_SkillReady(0*30601),Is_FindTarget(0*12),,,Do_CastSkill(30601),,,
5,喷火取消,SkillStatus_35,Is_MyAttribute(0*303*1*0.0),Is_MyBuff(0*30602),,,Do_DelBuffForMe([30602+30603]),Do_ChangeStatus(36),,
6,喷火取消,SkillStatus_35,Is_MyBuff(0*30602),Is_HasTarget(1*12),,,Do_DelBuffForMe([30602+30603]),Do_ChangeStatus(36),,
7,喷火释放,SkillStatus_35,Is_MyBuff(0*30603),Is_SkillReady(0*30602),Is_FindTarget(0*12),,Do_CastSkill(30602),,,
