状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,2000,0,1,StandStatus_3,,Born1,0,1,0,0,1,0,0,[412901],3,1,0,
10,待机状态,StandStatus_3,0,1,0,,,Stand1,1,1,1,0,1,0,0,[412902+412905],3,1,0,
20,待机准备跳转,SkillStatus_32,2000,1,0,SkillStatus_33,,Stand1,1,1,1,0,1,0,0,[412902+412905],3,1,0,
20,准备跳转到发射状态,SkillStatus_33,1000,1,0,SkillStatus_34,,Stand1,1,1,1,0,1,0,0,[412902+412905],3,1,0,
30,释放技能状态,SkillStatus_34,3000,0,0,SkillStatus_35,,Skill1,1,1,0,0,1,0,0,[412903+412905],3,1,0,
40,狂风塔缩回地面,SkillStatus_35,2000,0,0,SkillStatus_36,,Skill2,0,1,0,0,1,0,0,[],3,1,0,
40,沉睡状态,SkillStatus_36,50000,0,1,BornStatus_2,,,1,1,0,0,1,0,0,[],0,0,0,
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
