状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,2000,0,1,StandStatus_3,AddBuffForMeOnce([14+1]),Skill3,0,1,0,0,1,0,0,[],3,0,0,[100001+0]
40,待机状态,StandStatus_3,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
40,变身待机状态,SkillStatus_39,0,0,0,,,Stand2,1,1,0,0,1,0,0,[],0,0,0,
40,移动状态,MoveStatus_4,0,2,0,,Move(),Move2,1,1,2,0,1,0,0,[],0,0,0,
40,暗影炮,SkillStatus_31,4300,0,0,SkillStatus_34,,Skill2,0,1,0,0,1,0,0,[],0,0,0,[100003+800]
40,死亡镰刀收割出刀,SkillStatus_32,2800,0,0,SkillStatus_33,,Skill6,0,1,0,0,1,0,0,[120208],2,1,0,[100006+600]
40,死亡镰刀收割待机,SkillStatus_38,800,0,0,SkillStatus_33,,Stand2,0,1,0,0,1,0,0,[],0,0,0,
40,死亡镰刀收割收刀,SkillStatus_33,2533,0,0,SkillStatus_39,,Skill7,0,1,0,0,1,0,0,[],0,0,0,
40,变身死神,SkillStatus_34,3600,0,0,SkillStatus_39,,Death2,0,1,0,0,1,0,0,[],0,0,0,[100002+800]
40,黑暗深渊,SkillStatus_35,2533,0,0,MoveStatus_4,,Skill5,0,1,0,0,1,0,0,[],0,0,0,[100005+0]
999,死亡状态前判断,DeathStatus_1,200,0,1,SkillStatus_37,,,0,1,0,0,1,0,0,[],3,1,0,[100004+0]
999,未变身死亡状态,SkillStatus_36,2917,0,1,,Dead(),Death1,0,1,0,0,1,300,0,[41+42+43+44+45],3,1,0,
999,变身死亡状态,SkillStatus_37,2917,0,1,,Dead(),Death3,0,1,0,0,1,300,0,[41+42+43+44+45],3,1,0,
