状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,骷髅战士出生状态,BornStatus_2,750,0,1,MoveStatus_4,AddBuffForMeOnce([40003+1]*[401+1]),Stand1,0,1,0,0,0.5,0,0,[7],3,0,0,[200+0]
20,骷髅战士普攻待机状态,StandStatus_3,1200,1,0,MoveStatus_4,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
30,骷髅战士移动状态,MoveStatus_4,0,2,0,,Move(),Move1,1,1,2,0,1,0,0,[],0,0,0,
40,骷髅战士普攻,SkillStatus_31,1200,1,0,StandStatus_3,,Attack1,0,1,1,0,1,0,0,[40002],3,1,0,[40001+500+1]
50,骷髅战士被击状态,HitStatus_10,800,0,0,MoveStatus_4,,Hit1,0,1,0,0,1,0,0,[],0,0,0,
60,骷髅战士击晕状态,HitVertigoStatus_11,1500,0,0,MoveStatus_4,,Vertigo1,1,1,0,0,1,0,0,[3],1,1,0,
99,骷髅战士解冻状态,SkillStatus_40,1000,0,0,MoveStatus_4,,Hit1,0,1,0,0,1,0,0,[15+16+17],3,1,0,
100,骷髅战士冰冻状态,FrozenStatus_16,10,0,0,SkillStatus_40,,Hit1,0,1,0,0,0.4,0,0,[13+14],3,1,0,
999,骷髅战士死亡前判断,DeathStatus_1,200,0,1,SkillStatus_50,DoCount(41),Stand1,0,1,0,0,1,0,0,[],0,0,0,
1000,骷髅战士死亡前判断2,SkillStatus_50,200,0,0,SkillStatus_42,,Stand1,0,1,0,0,1,0,0,[],0,0,0,
100,骷髅战士死亡状态,SkillStatus_42,4000,0,1,,Dead(),Death1,0,0.7,0,0,1,2000,0,[],0,0,0,[40002+400]
1000,骷髅战士假死状态,SkillStatus_43,1000,0,1,SkillStatus_44,,Death1,0,1,0,0,1,0,0,[],0,0,0,[40002+400]
1000,骷髅战士假死状态2,SkillStatus_32,1000,0,1,SkillStatus_33,,Death1,0,1,0,0,1,0,0,[],0,0,0,[40002+400]
1000,骷髅战士复活,SkillStatus_44,3000,0,1,SkillStatus_49,,Reborn1,0,0.5,0,0,1,0,0,[],0,0,0,[40003+500]
1000,骷髅战士复活2,SkillStatus_33,3000,0,1,SkillStatus_34,,Reborn1,0,0.5,0,0,1,0,0,[109],3,1,0,[40003+500]
1001,骷髅战士复活后待机,SkillStatus_49,200,1,1,MoveStatus_4,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
1001,骷髅战士复活后待机2,SkillStatus_34,200,1,1,MoveStatus_4,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
800,骷髅战士击退状态,HitBackStatusReady_18,1,0,0,MoveStatus_4,HitPower(),Hit1,0,1,0,0,1,0,0,[1],3,1,0,
800,骷髅战士击退状态,HitBackStatus_12,1,0,1,HitBackStatusReady_18,,,0,1,0,0,1,0,0,[],0,0,0,
850,骷髅战士击飞状态,HitFlyStatus_13,1050,0,1,MoveStatus_4,HitPower(),Hitfly1,1,1,0,0,1,0,0,[],0,0,0,
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
