状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后1帧淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,1200,0,1,MoveStatus_4,0,Birth1,0,1,0,0,1,0,0,[],3,1,301301,
40,待机状态,StandStatus_3,300,0,0,MoveStatus_4,0,Stand1,1,1,1,0,1,0,0,[],0,0,0,
30,移动状态,MoveStatus_4,0,2,0,0,Move(),Move1,1,1,2,0,1,0,0,[],0,0,0,
40,普攻1,SkillStatus_31,1733,1,0,StandStatus_3,0,Attack1,0,1,1,0,1,0,0,[301306],3,1,0,[301301+800]
40,普攻2,SkillStatus_32,1733,1,0,StandStatus_3,0,Attack2,0,1,1,0,1,0,0,[301307],3,1,0,[301302+800]
40,普攻3,SkillStatus_33,1833,1,0,StandStatus_3,0,Attack3,0,1,1,0,1,0,0,[301308],3,1,0,[301303+800]
999,死亡状态,DeathStatus_1,2433,0,1,0,Dead(),Death1,0,1,0,0,1,0,0,[],0,0,0,[301304+0]
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
