状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,1000,0,1,SkillStatus_46,,Death1,0,1,0,0,1,0,0,[],0,0,0,
40,出生隐身待机,SkillStatus_46,0,1,0,,,Stand1,1,1,1,0,0.4,0,0,[30504],3,0,0,[210+0]
40,普攻待机,SkillStatus_45,600,1,0,SkillStatus_47,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,现身待机,SkillStatus_47,600,1,0,SkillStatus_46,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,移动状态,MoveStatus_4,0,2,0,,Move(),Move1,1,1,2,0,1,0,0,[],0,0,0,
40,隐身移动状态,SkillStatus_39,0,2,0,,Move(),Move2,1,1,2,0,1,0,0,[30504],3,0,0,[210+0]
40,普通攻击,SkillStatus_31,1200,1,0,SkillStatus_45,,Attack5,0,1,1,0,1,0,0,[30506],3,1,0,[30502+300+1]*[30503+700+1]
40,破隐一击,SkillStatus_41,1500,0,0,SkillStatus_45,,Skill2,0,1,0,0,1,0,0,[],0,0,0,[30504+600+1]
40,五星破隐一击,SkillStatus_42,1100,0,0,SkillStatus_45,,Skill3,0,1,0,0,1,0,0,[],0,0,0,[30504+600+1]
40,狂暴,SkillStatus_34,1000,0,0,SkillStatus_45,,Death1,0,1,0,0,1,0,0,[],0,0,0,
999,死亡状态,DeathStatus_1,1500,0,1,,Dead(),Death2,0,1,0,0,1,800,0,[41+42+43+44+45],3,1,0,[30506+100]
