状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,250,0,1,StandStatus_3,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
20,待机状态,StandStatus_3,0,0,0,,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
30,普攻,FightStatus_5,1333,1,0,StandStatus_3,,Attack1,0,1,1,0,1,0,0,[],3,1,0,[11001+300]
40,冲锋撞击,SkillStatus_32,1000,0,0,StandStatus_3,,Skill1_End,0,1,1,0,1,0,0,[11009],3,1,0,[11003+200]
40,圣盾术,SkillStatus_33,1666,1,1,StandStatus_3,,Skill2,0,1,1,0,1,0,0,[],0,0,0,[11005+200]
50,被击状态,HitStatus_10,600,0,0,StandStatus_3,,Hit1,0,1,0,0,1,0,0,[],0,0,0,
60,击晕状态,HitVertigoStatus_11,1066,0,0,StandStatus_3,,Vertigo1,1,1,0,0,1,0,0,[3],1,1,0,
99,解冻状态,SkillStatus_40,1000,0,0,StandStatus_3,,Hit1,0,1,0,0,1,0,0,[15+16+17],3,1,0,
100,冰冻状态,FrozenStatus_16,10,0,0,SkillStatus_40,,Hit1,0,1,0,0,0.4,0,0,[13+14],3,1,0,
999,死亡状态,DeathStatus_1,3000,0,1,,Dead(),Death1,0,1,0,0,1,1600,0,[41+42+43+44+45],3,1,0,[11004+400]
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
