状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,2000,0,1,SkillStatus_42,,Stand1,1,1,0,0,1,0,0,[],3,0,0,
40,战斗待机,StandStatus_3,700,1,0,MoveStatus_4,0,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,技能待机,SkillStatus_41,200,0,0,MoveStatus_4,0,Stand1,1,1,0,0,1,0,0,[],0,0,0,
40,移动状态,MoveStatus_4,0,2,0,0,Move(),Move1,1,1,2,0,1,0,0,[],0,0,0,
40,普攻1,FightStatus_5,1300,1,0,StandStatus_3,0,Attack1,0,1,1,0,1,0,0,[30916],3,1,0,[30901+600]
40,普攻2,SkillStatus_36,1370,1,0,StandStatus_3,0,Attack2,0,1,1,0,1,0,0,[30917],3,1,0,[30902+200]*[30901+800]
40,回春术,SkillStatus_42,1458,0,0,SkillStatus_41,0,Skill4,0,1,0,0,1,0,0,[],0,0,0,[30904+0]
40,宁静,SkillStatus_31,1458,0,0,SkillStatus_41,0,Skill2,0,1,0,0,1,0,0,[30902],3,1,0,[30905+0]
40,荆棘地刺,SkillStatus_37,1458,0,0,SkillStatus_41,0,Skill5,0,1,0,0,1,0,0,[],0,0,0,
50,被击状态,HitStatus_10,417,0,0,MoveStatus_4,0,Hit1,0,1,0,0,1,0,0,[],0,0,0,
60,击晕状态,HitVertigoStatus_11,10,0,0,MoveStatus_4,0,Vertigo1,1,1,0,0,1,0,0,[3],1,1,0,
70,扎根,SkillStatus_38,1566,0,0,SkillStatus_39,0,Skill6,0,1,0,0,1,0,0,[],0,0,0,[30904+0]
70,扎根待机,SkillStatus_39,0,0,0,SkillStatus_39,0,Skill7,1,1,0,0,1,0,0,[30918],3,1,0,
70,起立,SkillStatus_40,2333,0,0,StandStatus_3,0,Skill8,0,1,0,0,1,0,0,[],0,0,0,
999,死亡状态判断,DeathStatus_1,4000,0,1,0,Dead(),Death1,0,1,0,0,1,2000,0,[],0,0,0,[30906+100]
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
