状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,2000,0,1,SkillStatus_45,0,Birth1,0,1,0,0,1,0,0,[],3,0,0,[106800+200]
40,出生待机,SkillStatus_45,0,0,0,,0,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,战斗待机,StandStatus_3,200,1,0,SkillStatus_45,0,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,技能待机,SkillStatus_41,200,0,0,SkillStatus_45,0,Stand1,1,1,0,0,1,0,0,[],0,0,0,
40,移动状态,MoveStatus_4,0,2,0,0,Move(),Move1,1,1,2,0,1,0,0,[],0,0,0,
40,普攻1,FightStatus_5,2000,1,0,StandStatus_3,0,Attack1,0,1,1,0,1,0,0,[106807+106808],3,1,0,[106801+0]
40,生命之藤,SkillStatus_37,2000,0,0,SkillStatus_41,0,Skill1,0,1,0,0,1,0,0,[106809+106810],3,1,0,[106803+0]
40,魔化之藤,SkillStatus_38,2000,0,0,SkillStatus_41,0,Skill1,0,1,0,0,1,0,0,[106811+106812],3,1,0,[106803+0]
999,死亡状态,DeathStatus_1,3000,0,1,0,Dead(),Death1,0,1,0,0,1,2000,0,[41+42+43+44+45],3,1,0,[106802+0]
