状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后1帧淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,6000,0,0,StandStatus_3,AddBuffForMeOnce([180005+1]*[180008+1]),Stand1,1,1,0,0,1,0,0,[],3,0,0,
20,待机状态,StandStatus_3,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],3,0,0,
999,死亡状态,DeathStatus_1,1860,0,1,,Dead(),Death1,0,1,0,0,1,0,0,[],3,0,0,[1305+100]
40,精灵之光技能,SkillStatus_31,3000,1,0,StandStatus_3,,Skill1,0,1,0,0,1,0,0,[1390],3,0,0,[1301+0]
40,不稳定传送门技能,SkillStatus_32,4200,1,0,StandStatus_3,,Skill2,0,1,0,0,1,0,0,[1391+1303],3,1,0,[1302+0]
40,召唤巨熊技能,SkillStatus_33,2000,1,0,StandStatus_3,,Skill3,0,1,0,0,1,0,0,[],3,0,1300,[1303+0]
