状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,800,0,1,MoveStatus_4,AddBuffForMeOnce([30700+1]*[30704+1]*[30706+1]),Stand1,0,1,0,0,0.5,0,0,[7],3,0,0,[60000+0]*[200+0]
40,普攻待机状态,StandStatus_3,500,1,0,MoveStatus_4,0,Stand1,1,1,1,0,1,0,0,[],3,1,0,
40,技能待机状态,SkillStatus_35,200,0,0,MoveStatus_4,0,Stand1,1,1,0,0,1,0,0,[],3,1,0,
30,移动状态,MoveStatus_4,0,2,0,0,Move(),Move1,1,1,2,0,1,0,0,[],3,1,0,
40,普攻,FightStatus_5,1833,1,0,StandStatus_3,0,Attack1,0,1,1,0,1,0,0,[30707],3,1,0,[60001+1000+1]
40,捶地,SkillStatus_31,4000,0,1,SkillStatus_35,0,Skill1,0,1,0,0,1,0,0,[30708],3,1,0,[60003+0+1]
50,被击状态,HitStatus_10,800,0,0,MoveStatus_4,0,Hit1,0,1,0,0,1,0,0,[],3,1,0,
80,倒地状态,HitdownStatus_14,0,0,0,GetUpStatus_15,0,0,1,1,0,0,1,0,0,[],3,1,0,
90,起身状态,GetUpStatus_15,0,0,0,MoveStatus_4,0,0,0,1,0,0,1,0,0,[],3,1,0,
95,进入沉睡状态,SkillStatus_34,1000,0,0,SkillStatus_36,0,Sleep1,0,1,0,0,1,0,0,[],3,1,0,
95,保持沉睡状态,SkillStatus_36,0,0,0,0,0,Sleep2,1,1,0,0,1,0,0,[],3,1,0,
95,退出沉睡状态,SkillStatus_37,1000,0,0,SkillStatus_35,0,Sleep3,0,1,0,0,1,0,0,[],3,1,0,
999,死亡状态,DeathStatus_1,4000,0,1,0,Dead(),Death1,0,1,0,0,1,2000,0,[],3,1,0,[60005+0]
800,击退状态,HitBackStatusReady_18,1,0,0,MoveStatus_4,HitPower(),Hit1,0,1,0,0,1,0,0,[1],3,1,0,
800,击退状态,HitBackStatus_12,1,0,1,HitBackStatusReady_18,0,0,0,1,0,0,1,0,0,[],3,1,0,
850,击飞状态,HitFlyStatus_13,1600,0,1,MoveStatus_4,HitPower(),Hit1,1,1,0,0,1,0,0,[],3,1,0,
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
