状态优先级,描述,状态标签,状态生命周期,周期影响参数,状态是否加锁,状态自动跳转,角色行为,角色骨骼动画,,,,,,,,特效动画,,,,音乐ID
,无效列,状态标签StateNameToID,正整数代表毫秒      0代表永久-1攻击速度,"0无,1攻击速率,2移动速度影响,3回蓝速度",0不锁 1锁,状态结束后进入新状态,Action(a*b*[x+y]),动画标签,是否循环(0不正循负美决),动画播放速率,速率因素(0无1攻击速率连动2移速3回蓝速度),灰化(0不1灰),透明度,最后一帧隔多少毫秒淡出,偏色[R+G+B],附加特效动画ID,附加效果播放点：(0不播放1头2身3脚),特效是否跟随移动,附加UI特效(UI特效只能对应1个),
Status_CanBreakParam,null,Status_Name,Status_LifeTime,Status_LifeTimePrarm,Status_Lock,Status_NextStatus,Status_Action,Animation_Label,Animation_Loop,Animation_Speed,Animation_SpeedAffect,Animation_Ash,Animation_Transparency,Animation_IsFadeOutTime,Animation_AddColor,Animation_ID,Animation_EffectPlay,Animation_IsFollow,UIEffect_ID,Animation_AudioID
int,null,string,int,int,bool,string,function,string,int,float,int,bool,float,float,float,json,int,bool,int,int
10,出生状态,BornStatus_2,750,0,1,StandStatus_3,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
20,普攻待机状态,StandStatus_3,0,1,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
20,待机状态跳转,SkillStatus_32,400,1,0,StandStatus_3,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,移动状态,MoveStatus_4,0,2,0,,Move(),Move1,1,1,2,0,1,0,0,[],0,0,0,
40,移动待机跳转,SkillStatus_42,400,1,0,MoveStatus_4,,Stand1,1,1,1,0,1,0,0,[],0,0,0,
40,自然族青年普攻1,SkillStatus_33,1000,1,0,SkillStatus_34,,Attack1,0,1,1,0,1,0,0,[109501],2,1,0,[109501+0]
40,自然族青年普攻2,SkillStatus_34,1000,1,0,SkillStatus_35,,Attack2,0,1,1,0,1,0,0,[109502],2,1,0,[109502+0]
40,自然族青年普攻3,SkillStatus_35,1000,1,0,SkillStatus_32,,Attack3,0,1,1,0,1,0,0,[109503],2,1,0,[109503+0]
40,自然族青年技能1,SkillStatus_36,1000,0,0,StandStatus_3,,Skill1,0,1,0,0,1,0,0,[109505],2,1,0,[109505+300]
40,自然族青年普攻1（移动）,SkillStatus_37,1000,1,0,SkillStatus_38,,Attack1,0,1,1,0,1,0,0,[109501],2,1,0,[109501+0]
40,自然族青年普攻2（移动）,SkillStatus_38,1000,1,0,SkillStatus_39,,Attack2,0,1,1,0,1,0,0,[109502],2,1,0,[109502+0]
40,自然族青年普攻3（移动）,SkillStatus_39,1000,1,0,SkillStatus_42,,Attack3,0,1,1,0,1,0,0,[109503],2,1,0,[109503+0]
40,自然族青年技能1（移动）,SkillStatus_41,1000,0,0,MoveStatus_4,,Skill1,0,1,0,0,1,0,0,[109505],2,1,0,[109505+300]
999,死亡,DeathStatus_1,1600,0,1,SkillStatus_42,Dead(),Death1,0,1,0,0,1,0,0,[41+42+43+44+45],3,1,0,[109507+0]
1100,胜利状态,WinStatus_8,0,0,0,,,Stand1,1,1,0,0,1,0,0,[],0,0,0,
1101,失败状态,LoseStatus_9,800,0,0,,Dead(),Stand1,0,1,0,0,0,0,0,[41],3,0,0,
