序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,1000,0,-1,[2],[]
2,狼人,0,1,0,0,17000,4,1,[3+4],[]
3,夜刃,0,1,0,0,17000,3,2,[],[]
4,夜刃,0,1,0,0,17000,3,3,[5],[]
5,水人,0,1,0,0,14000,5,1,[6+7],[]
6,精灵弓手,0,1,0,0,17000,2,2,[],[]
7,精灵弓手,0,1,0,0,17000,2,3,[8+9+10],[]
8,牛头,0,1,0,0,15000,6,1,[],[]
9,小精灵,0,1,0,0,15000,1,2,[],[]
10,小精灵,0,1,0,0,15000,1,3,[1],[]
11,500范围内有敌人,0,0,1,150,1000,0,1,[12],[1+2+3+4+5+6+7+8+9+10]
12,发兵跳转,0,1,0,0,1000,0,-1,[13],[]
13,狼人,0,1,0,0,16000,4,2,[14+15],[]
14,夜刃,0,1,0,0,16000,3,3,[],[]
15,夜刃,0,1,0,0,16000,3,0,[16],[]
16,水人,0,1,0,0,14000,5,1,[17+18],[]
17,精灵弓手,0,1,0,0,16000,2,2,[],[]
18,精灵弓手,0,1,0,0,16000,2,3,[19+20+21],[]
19,牛头,0,1,0,0,13000,6,3,[],[]
20,小精灵,0,1,0,0,13000,1,3,[],[]
21,小精灵,0,1,0,0,13000,1,3,[11],[]
22,150范围内有敌人,0,0,2,50,1000,0,1,[23],[11+12+13+14+15+16+17+18+19+20+21]
23,发兵跳转,0,1,0,0,1000,0,-1,[24],[]
24,狼人,0,1,0,0,13000,4,2,[25+26],[]
25,夜刃,0,1,0,0,13000,3,3,[],[]
26,夜刃,0,1,0,0,13000,3,3,[27],[]
27,水人,0,1,0,0,12000,5,1,[28+29],[]
28,精灵弓手,0,1,0,0,13000,2,1,[],[]
29,精灵弓手,0,1,0,0,13000,2,1,[30+31+32],[]
30,牛头,0,1,0,0,11000,6,3,[],[]
31,小精灵,0,1,0,0,11000,1,3,[],[]
32,小精灵,0,1,0,0,11000,1,3,[33],[]
33,海巨人,0,1,0,0,12000,7,3,[23],[]
34,狼人,0,0,2,70,100,4,1,[],[]
35,狼人,0,0,2,70,200,4,2,[],[]
36,牛头,0,0,2,70,1100,6,1,[],[]
37,牛头,0,0,2,70,1200,6,2,[],[]
38,海巨人,0,0,2,70,4000,7,3,[],[]
