序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,僵尸,0,0,0,0,20000,1,-1,[2],[]
2,夜刃,0,1,0,0,5000,4,-1,[1],[]
3,五级水晶开关,0,0,3,5,10000,0,-1,[4],[10+11+12+13]
4,五级后-牧师,0,1,0,0,0,5,-1,[5],[]
5,五级后-铁匠,0,1,0,0,3000,6,-1,[6],[]
6,五级后-火枪,0,1,0,0,2000,3,-1,[7],[]
7,五级后-维京人,0,1,0,0,3500,2,-1,[8],[]
8,五级后-延迟,0,1,0,0,20000,0,-1,[10+11+12],[]
9,四级水晶开关,0,0,3,4,10000,0,-1,[10+11+12],[]
10,四级后-火枪,0,1,6,4,0,3,-1,[10],[]
11,四级后-维京人,0,1,8,4,10000,2,-1,[11],[]
12,四级后-铁匠,0,1,4,5,12000,6,-1,[13],[]
13,四级后-牧师,0,1,0,0,2000,5,-1,[12],[]
