序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,4星牛头人,1,0,0,0,5106,2,-1,[],[]
2,2星狼人,1,0,0,0,5683,1,-1,[],[]
3,2星小精灵,1,0,0,0,6170,3,-1,[],[]
4,2星夜刃,1,0,0,0,6604,6,-1,[],[]
5,3星精灵弓手,1,0,0,0,7183,4,-1,[],[]
6,2星小精灵,1,0,0,0,7604,3,-1,[],[]
7,3星精灵弓手,1,0,0,0,8104,4,-1,[],[]
8,2星狼人,1,0,0,0,8683,1,-1,[],[]
9,3星水元素,1,0,0,0,9183,5,-1,[],[]
10,2星夜刃,1,0,0,0,9604,6,-1,[],[]
