序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,盗贼,0,0,0,0,9000,3,-1,[],[]
2,僵尸,0,0,0,0,14000,5,-1,[],[]
3,牧师,0,0,0,0,20000,4,-1,[],[]
4,勇士,0,0,0,0,24000,1,-1,[5],[]
5,勇士循环,0,1,0,0,15600,1,-1,[5],[]
6,火枪,0,0,0,0,25000,2,-1,[7],[]
7,火枪循环,0,1,0,0,22000,2,-1,[7],[]
8,僵尸&关闭勇士循环,0,0,0,0,60000,5,-1,[],[5+7]
9,勇士,0,0,0,0,76000,1,-1,[],[]
10,火龙,0,0,0,0,78000,7,-1,[],[]
11,盗贼,0,0,0,0,79000,3,-1,[],[]
12,牧师,0,0,0,0,83000,4,-1,[],[]
13,僵尸,0,0,0,0,87000,5,-1,[14],[]
14,僵尸循环,0,1,0,0,33200,5,-1,[14],[]
15,盗贼,0,0,0,0,90000,3,-1,[16],[]
16,盗贼循环,0,1,0,0,14200,3,-1,[16],[]
17,勇士,0,0,0,0,92000,1,-1,[18],[]
18,勇士循环,0,1,0,0,14000,1,-1,[18],[]
19,牧师,0,0,0,0,130000,4,-1,[],[]
20,牧师,0,0,0,0,160000,4,-1,[],[]
21,牧师,0,0,0,0,210000,4,-1,[],[]
