序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,2星骑士,0,0,0,0,6546,1,-1,[],[]
2,2星骑士,0,0,0,0,3821,1,-1,[],[]
3,3星骑士,0,0,0,0,20334,2,-1,[],[]
4,魔剑士,0,0,0,0,13562,3,-1,[],[]
5,魔剑士,0,0,0,0,7130,3,-1,[],[]
6,火女,0,0,0,0,9234,4,-1,[],[]
7,火女,0,0,0,0,2667,4,-1,[],[]
8,火女,0,0,0,0,6350,4,-1,[],[]
9,火女,0,0,0,0,12867,4,-1,[],[]
10,火女,0,0,0,0,9543,4,-1,[],[]
