序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,吸血鬼,0,0,0,0,18000,1,-1,[],[]
2,幽灵,0,0,0,0,21000,2,-1,[],[]
3,骷髅战士,0,0,0,0,23000,3,-1,[4],[]
4,骷髅战士循环,0,1,0,0,11000,3,-1,[4],[]
5,吸血鬼,0,0,0,0,55000,1,-1,[],[]
6,幽灵,0,0,0,0,61000,2,-1,[],[]
7,吸血鬼,0,0,0,0,88000,1,-1,[],[]
8,幽灵,0,0,0,0,108000,2,-1,[9],[]
9,幽灵循环,0,1,0,0,23000,2,-1,[9],[]
10,吸血鬼,0,0,0,0,112000,1,-1,[11],[]
11,吸血鬼循环,0,1,0,0,23000,1,-1,[11],[]
