序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,四星勇士,0,0,0,0,9000,1,-1,[1],[]
2,四星勇士,1,0,3,4,1000,1,-1,[3],[]
3,四星勇士,0,1,3,4,10000,1,-1,[3],[]
4,四星勇士,1,0,3,5,1000,1,-1,[5],[]
5,四星勇士,0,1,3,5,12000,1,-1,[5],[]
6,四星勇士,1,0,3,7,1000,1,-1,[7],[]
7,四星勇士,0,1,3,7,12000,1,-1,[7],[]
8,三星圣骑士,0,0,0,0,60000,2,-1,[9],[]
9,三星圣骑士,0,1,0,0,32000,2,-1,[9],[]
10,四星圣骑士,1,0,4,13,5000,3,-1,[11],[]
11,四星圣骑士,0,1,4,13,50000,3,-1,[11],[]
12,四星圣骑士,1,0,4,19,5000,3,-1,[13],[]
13,四星圣骑士,0,1,4,19,50000,3,-1,[13],[]
14,四星屠夫,1,0,3,7,5000,4,-1,[15],[]
15,四星屠夫,0,1,3,7,40000,4,-1,[15],[]
16,五星屠夫,1,0,3,7,10000,5,-1,[17],[]
17,五星屠夫,0,1,3,7,50000,5,-1,[17],[]
18,五星石头人,1,0,4,23,10000,6,-1,[19],[]
19,五星石头人,0,1,4,23,80000,6,-1,[19],[]
