序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,火枪,0,0,0,0,10000,1,-1,[1],[]
2,维京人,0,0,0,0,35000,2,-1,[2],[]
3,勇士,0,0,0,0,10000,3,-1,[3],[]
4,距离骑士,0,0,1,900,40000,4,-1,[4],[]
5,二星火女首发,0,0,0,0,70000,5,-1,[6],[]
6,二星火女,0,1,0,0,35000,5,-1,[6],[]
7,压力维京人,0,0,0,0,105000,2,-1,[8],[]
8,压力勇士,0,1,0,0,2000,3,-1,[9],[]
9,压力火枪,0,1,0,0,2000,1,-1,[],[]
10,清兵火女,0,0,4,15,22000,5,-1,[10],[]
11,清兵火女,0,0,4,19,22000,5,-1,[11],[]
12,偷袭刺客,0,0,0,0,9000,6,-1,[12],[]
13,时间骑士开启刺客,0,0,0,0,110000,4,-1,[14],[]
14,压力刺客,0,1,0,0,9000,6,-1,[14],[]
