序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,全场定期出刺客,0,0,0,0,15000,1,-1,[1],[]
2,火巨人循环,0,0,0,0,18000,2,-1,[3+4+5+6],[]
3,小鹿,0,1,0,0,15000,4,-1,[],[]
4,狼人,0,1,0,0,13000,3,-1,[],[]
5,狼人,0,1,0,0,10000,3,-1,[],[]
6,小鹿循环,0,1,0,0,22000,4,-1,[2],[]
7,牛头出现,0,0,0,0,60000,5,-1,[8],[]
8,牛头循环,0,1,0,0,23000,5,-1,[8],[]
9,切换发兵表,0,0,0,0,80000,,-1,[10],[2+3+4+5+6]
10,火巨人循环,0,1,0,0,18000,2,-1,[11+12+13+14],[]
11,火巨人,0,1,0,0,6000,2,-1,[],[]
12,小鹿,0,1,0,0,8000,4,-1,[],[]
13,狼人,0,1,0,0,11000,3,-1,[],[]
14,狼人,0,1,0,0,20000,3,-1,[10],[]
