序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,骷髅人开启,0,0,0,0,2000,1,-1,[2+3+4],[]
2,骷髅人,0,1,0,0,500,1,-1,[],[]
3,骷髅弓箭手,0,1,0,0,1000,2,-1,[],[]
4,骷髅人循环,0,1,0,0,20000,1,-1,[1],[]
5,雪女开始,0,0,0,0,50000,5,-1,[6],[]
6,雪女开始循环,0,1,0,0,15000,5,-1,[6],[]
7,雪女数量变多,0,0,1,100,20000,5,-1,[7],[]
8,骷髅召唤师开始,0,0,0,0,100000,4,-1,[9],[]
9,骷髅召唤师循环,0,1,0,0,40000,4,-1,[9],[]
10,幽魂循环,0,0,0,0,20000,3,-1,[11],[]
11,幽魂循环,0,1,0,0,1000,3,-1,[10],[]
