序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,初始循环,0,0,0,0,0,,-1,[2+3+4+5],[]
2,初始循环,0,1,0,0,4000,1,-1,[],[]
3,初始循环,0,1,0,0,8000,1,-1,[],[]
4,初始循环,0,1,0,0,12000,2,-1,[],[]
5,初始循环,0,1,0,0,16000,2,-1,[1],[]
6,后期循环,0,0,1,1150,0,0,0,[7+8+9+10+11],[1]
7,后期循环,0,1,0,0,4000,1,-1,[],[]
8,后期循环,0,1,0,0,8000,2,-1,[],[]
9,后期循环,0,1,0,0,12000,2,-1,[],[]
10,后期循环,0,1,0,0,16000,2,-1,[],[]
11,后期循环,0,1,0,0,20000,2,-1,[6],[]
