序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,派发紧随二星勇士1,0,1,0,0,0,1,-1,[],[]
2,派发紧随二星牧师2,0,1,0,0,0,2,-1,[],[]
3,派发紧随二星骑士3,0,1,0,0,0,3,-1,[],[]
4,开场派发骑士与牧师1,0,0,0,0,3000,3,-1,[5+2],[]
5,前期勇士1,0,1,0,0,12000,1,-1,[6+2],[]
6,前期勇士2,0,1,0,0,11000,1,-1,[7+2],[]
7,前期勇士3,0,1,0,0,10000,1,-1,[8+2],[]
8,中期勇士与牧师1,0,1,0,0,10000,2,-1,[9+2+1],[]
9,中期勇士与牧师2,0,1,0,0,9000,2,-1,[10+2+1],[]
10,中期勇士与牧师3,0,1,0,0,8000,2,-1,[11+2+1],[]
11,中期勇士与牧师4,0,1,0,0,10000,1,-1,[12+2+1],[]
12,中期勇士与牧师5,0,1,0,0,9000,1,-1,[13+2+1],[]
13,中期勇士与牧师6,0,1,0,0,8000,1,-1,[14+2+1],[]
14,后期骑士与牧师1,0,1,0,0,13000,3,-1,[15+2+1],[]
15,后期骑士与牧师2,0,1,0,0,15000,3,-1,[16+2+1],[]
16,后期骑士与牧师3,0,1,0,0,14000,3,-1,[17+2+1],[]
17,循环勇士与牧师与骑士1,0,1,0,0,12000,1,-1,[17+2+3+1],[]
18,召唤师血量低于50触发骑士群1,0,0,2,50,0,3,-1,[19+3],[]
19,召唤师血量低于50触发骑士群2,0,1,0,0,0,3,-1,[20+3],[]
20,召唤师血量低于50触发骑士群1,0,1,0,0,0,3,-1,[21+3],[]
21,召唤师血量低于50触发骑士群2,0,1,0,0,0,3,-1,[22+3],[]
22,召唤师血量低于50触发骑士群3,0,1,0,0,0,3,-1,[3],[]
