序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,石巨人,0,0,0,0,10280,1,-1,[],[]
2,森巨人,0,0,0,0,2271,2,-1,[],[]
3,水元素,0,0,0,0,14511,3,-1,[],[]
4,投石车,0,0,0,0,8511,4,-1,[],[]
5,投石车,0,0,0,0,3833,4,-1,[],[]
6,投石车,0,0,0,0,10945,4,-1,[],[]
7,投石车,0,0,0,0,2276,4,-1,[],[]
8,夜刃,0,0,0,0,13164,5,-1,[],[]
9,夜刃,0,0,0,0,20822,5,-1,[],[]
10,夜刃,0,0,0,0,10280,5,-1,[],[]
11,夜刃,0,0,0,0,5511,5,-1,[],[]
12,夜刃,0,0,0,0,25822,5,-1,[],[]
