序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,幽灵,0,0,0,0,15000,4,-1,[2],[]
2,僵尸,0,1,0,0,20000,3,-1,[1],[]
3,90秒发兵跳转,0,0,0,0,90000,0,-1,[4],[]
4,死亡骑士,0,1,0,0,1000,6,-1,[5+6],[]
5,僵尸,0,1,0,0,1000,3,-1,[],[]
6,幽灵,0,1,0,0,1000,4,-1,[7],[]
7,雪女,0,1,0,0,1000,5,-1,[8],[]
8,水元素,0,1,0,0,1000,2,-1,[14+15+18],[]
9,海巨人,0,0,0,0,150000,7,-1,[19],[]
10,盾妹,0,0,1,300,2000,1,-1,[],[]
11,雪女,0,0,1,300,2000,5,-1,[12+13],[]
12,盾妹,0,1,0,0,20000,1,-1,[],[]
13,雪女,0,1,0,0,20000,5,-1,[],[]
14,幽灵,0,1,0,0,15000,4,-1,[],[]
15,雪女,0,1,0,0,15000,5,-1,[16],[]
16,水元素,0,1,0,0,20000,2,-1,[17],[]
17,僵尸,0,1,0,0,15000,3,-1,[14+15],[]
18,死亡骑士,0,1,0,0,60000,6,-1,[18],[]
19,海巨人,0,1,0,0,70000,7,-1,[19],[]
