序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,3000,0,-1,[2+3+4],[]
2,屠夫,0,1,0,0,19000,5,-1,[],[]
3,雪女,0,1,0,0,20000,4,-1,[],[]
4,雪女,0,1,0,0,20000,4,-1,[5+6],[]
5,死灵召唤师,0,1,0,0,21000,3,-1,[],[]
6,死灵召唤师,0,1,0,0,21000,3,-1,[7+8],[]
7,幽灵,0,1,0,0,20000,2,-1,[],[]
8,幽灵,0,1,0,0,20000,2,-1,[9+10+11],[]
9,僵尸,0,1,0,0,19000,1,-1,[],[]
10,僵尸,0,1,0,0,19000,1,-1,[],[]
11,巫妖,0,1,0,0,21000,6,-1,[1],[]
12,60血发兵跳转,0,0,2,60,2000,0,-1,[13],[1+4+6+8+11]
13,发兵跳转,0,1,0,0,2000,0,-1,[14+15+16],[]
14,屠夫,0,1,0,0,18000,5,-1,[],[]
15,雪女,0,1,0,0,18000,4,-1,[],[]
16,雪女,0,1,0,0,18000,4,-1,[17+18],[]
17,死灵召唤师,0,1,0,0,18000,3,-1,[],[]
18,死灵召唤师,0,1,0,0,18000,3,-1,[19],[]
19,吸血鬼,0,1,0,0,20000,7,-1,[20+21],[]
20,幽灵,0,1,0,0,19000,2,-1,[],[]
21,幽灵,0,1,0,0,19000,2,-1,[22+23+24],[]
22,僵尸,0,1,0,0,18000,1,-1,[],[]
23,僵尸,0,1,0,0,18000,1,-1,[],[]
24,巫妖,0,1,0,0,19000,6,-1,[13],[]
25,屠夫,0,0,2,60,1000,5,-1,[],[]
26,屠夫,0,0,2,60,1000,5,-1,[],[]
27,吸血鬼,0,0,2,60,7000,7,-1,[],[]
28,吸血鬼,0,0,2,60,7000,7,-1,[],[]
