序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,1000,0,-1,[2+3],[]
2,死灵召唤师,0,1,0,0,13000,3,-1,[],[]
3,死灵召唤师,0,1,0,0,13000,3,-1,[4+5+6+7],[]
4,幽灵,0,1,0,0,13000,2,-1,[],[]
5,幽灵,0,1,0,0,13000,2,-1,[],[]
6,雪女,0,1,0,0,15000,4,-1,[],[]
7,雪女,0,1,0,0,15000,4,-1,[8+9],[]
8,僵尸,0,1,0,0,13000,1,-1,[],[]
9,僵尸,0,1,0,0,13000,1,-1,[10+11+12],[]
10,屠夫,0,1,0,0,13000,5,-1,[],[]
11,死灵召唤师,0,1,0,0,13000,3,-1,[],[]
12,死灵召唤师,0,1,0,0,13000,3,-1,[13],[]
13,僵尸,0,1,0,0,9000,1,-1,[1],[]
14,180S发兵跳转,0,0,0,0,180000,0,-1,[15],[1+3+7+9+12+13]
15,发兵跳转,0,1,0,0,1000,0,-1,[16],[]
16,巫妖,0,1,0,0,13000,6,-1,[17+18],[]
17,死灵召唤师,0,1,0,0,13000,3,-1,[],[]
18,死灵召唤师,0,1,0,0,13000,3,-1,[19+20+21+22],[]
19,幽灵,0,1,0,0,12000,2,-1,[],[]
20,幽灵,0,1,0,0,12000,2,-1,[],[]
21,雪女,0,1,0,0,13000,4,-1,[],[]
22,雪女,0,1,0,0,13000,4,-1,[23+24],[]
23,僵尸,0,1,0,0,10000,1,-1,[],[]
24,僵尸,0,1,0,0,10000,1,-1,[25+26+27],[]
25,屠夫,0,1,0,0,13000,5,-1,[],[]
26,死灵召唤师,0,1,0,0,11000,3,-1,[],[]
27,死灵召唤师,0,1,0,0,11000,3,-1,[28],[]
28,僵尸,0,1,0,0,13000,1,-1,[15],[]
29,巫妖（70血）,0,0,2,50,1000,6,-1,[],[]
30,巫妖（70血）,0,0,2,50,1000,6,-1,[],[]
