序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,石巨人,0,0,0,0,2000,1,-1,[],[]
2,海巨人,0,0,0,0,38000,2,-1,[],[]
4,森巨人,0,0,0,0,19000,3,-1,[],[]
5,水人,0,0,0,0,20000,4,-1,[],[]
6,水人,0,0,0,0,25000,4,-1,[],[]
7,水人,0,0,0,0,1500,4,-1,[],[]
9,投石车,0,0,0,0,18000,5,-1,[],[]
10,投石车,0,0,0,0,2500,5,-1,[],[]
12,投石车,0,0,0,0,20000,5,-1,[],[]
13,投石车,0,0,0,0,16000,5,-1,[],[]
14,投石车,0,0,0,0,25000,5,-1,[],[]
