序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,大僵尸,0,0,0,0,10000,1,-1,[2],[]
2,大僵尸循环,0,1,0,0,120000,1,-1,[2],[]
3,骷髅弓手,0,0,0,0,59000,2,-1,[4],[]
4,骷髅弓手循环,0,1,0,0,12000,2,-1,[4],[]
5,骷髅弓手2,0,0,0,0,60000,2,-1,[6],[]
6,骷髅弓手2循环,0,1,0,0,12000,2,-1,[6],[]
7,血量屠夫1,0,0,2,80.5,1000,3,-1,[],[]
8,血量屠夫2,0,0,2,55.5,1000,3,-1,[],[]
9,血量屠夫3,0,0,2,30.5,1000,3,-1,[],[]
