序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,Null,,,,,,,,,
,Null,,,,,,,,,
index,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
1,发兵开始,0,0,0,0,5000,0,-1,[2+3+4],[]
2,第一波黑熊,0,1,0,0,1000,2,-1,[],[]
3,第一波野猪,0,1,0,0,2000,1,-1,[],[]
4,第一波灰狼,0,1,0,0,3000,3,-1,[5],[]
5,第二波黑熊,0,1,0,0,7000,2,-1,[6],[]
6,第二波野猪,0,1,0,0,8000,1,-1,[7],[]
7,第二波灰狼,0,1,0,0,9000,3,-1,[8],[]
8,第三波黑熊,0,1,0,0,7000,2,-1,[9],[]
9,第三波野猪,0,1,0,0,8000,1,-1,[10],[]
10,第三波灰狼,0,1,0,0,9000,3,-1,[11],[]
11,野猪,0,1,0,0,4000,1,-1,[12],[]
12,灰狼,0,1,0,0,4000,3,-1,[11],[]
