序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,火枪,0,0,0,0,13000,1,-1,[1],[]
2,骑士抢攻,0,0,0,0,500,4,-1,[3],[]
3,维京人,0,1,0,0,20000,2,-1,[3],[]
4,勇士,0,0,0,0,14000,3,-1,[4],[]
5,常驻骑士,0,0,0,0,28000,4,-1,[],[]
6,血量骑士,0,0,1,500,1200,4,-1,[7],[]
7,抵抗骑士,0,1,1,500,18000,4,-1,[7],[]
8,距离奔跑勇士,0,0,1,1100,8000,3,-1,[8],[]
9,周期性刺客,0,0,0,0,20000,5,-1,[9],[]
