序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,水元素,0,0,0,0,1500,1,-1,[],[]
2,水元素,0,0,0,0,2500,1,-1,[],[]
3,水元素,0,0,0,0,3500,1,-1,[],[]
4,水元素,0,0,0,0,8164,1,-1,[],[]
5,小鹿,0,0,0,0,5822,2,-1,[],[]
6,狼人,0,0,0,0,9146,3,-1,[],[]
7,狼人,0,0,0,0,5710,3,-1,[],[]
8,水元素,0,0,0,0,23164,1,-1,[],[]
9,小鹿,0,0,0,0,20822,2,-1,[],[]
10,狼人,0,0,0,0,24146,3,-1,[],[]
11,狼人,0,0,0,0,20710,3,-1,[],[]
12,水元素,0,0,0,0,38164,1,-1,[],[]
13,小鹿,0,0,0,0,35822,2,-1,[],[]
14,狼人,0,0,0,0,39146,3,-1,[],[]
15,狼人,0,0,0,0,35710,3,-1,[],[]
