序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,1000,0,-1,[2+3+4+5],[]
2,骷髅战士,0,1,0,0,12000,1,-1,[],[]
3,骷髅战士,0,1,0,0,12000,1,-1,[],[]
4,雪女,0,1,0,0,13000,5,-1,[],[]
5,雪女,0,1,0,0,13000,5,-1,[6+7],[]
6,骷髅弓手,0,1,0,0,11000,3,-1,[],[]
7,骷髅弓手,0,1,0,0,11000,3,-1,[8+9+10],[]
8,僵尸,0,1,0,0,12000,2,-1,[],[]
9,雪女,0,1,0,0,12000,5,-1,[],[]
10,雪女,0,1,0,0,12000,5,-1,[11+12],[]
11,幽灵,0,1,0,0,12000,4,-1,[],[]
12,幽灵,0,1,0,0,12000,4,-1,[13+14+15],[]
13,骷髅战士,0,1,0,0,13000,1,-1,[],[]
14,骷髅战士,0,1,0,0,13000,1,-1,[],[]
15,骷髅弓手,0,1,0,0,13000,3,-1,[16+17],[]
16,雪女,0,1,0,0,13000,5,-1,[],[]
17,雪女,0,1,0,0,13000,5,-1,[18+19+20],[]
18,幽灵,0,1,0,0,15000,4,-1,[],[]
19,幽灵,0,1,0,0,15000,4,-1,[],[]
20,屠夫,0,1,0,0,15000,6,-1,[1],[]
21,吸血鬼,0,0,2,80,1000,7,-1,[],[]
22,吸血鬼,0,0,2,40,5000,7,-1,[],[]
