序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,屠夫,0,0,0,0,10280,1,-1,[],[]
2,屠夫,0,0,0,0,2271,1,-1,[],[]
3,屠夫,0,0,0,0,14511,1,-1,[],[]
4,雪女,0,0,0,0,8511,2,-1,[],[]
5,雪女,0,0,0,0,3833,2,-1,[],[]
6,骷髅弓手,0,0,0,0,11712,3,-1,[],[]
7,骷髅弓手,0,0,0,0,11477,3,-1,[],[]
8,骷髅弓手,0,0,0,0,8921,3,-1,[],[]
9,骷髅弓手,0,0,0,0,3595,3,-1,[],[]
10,骷髅弓手,0,0,0,0,20392,3,-1,[],[]
11,骷髅弓手,0,0,0,0,7544,3,-1,[],[]
12,骷髅弓手,0,0,0,0,2705,3,-1,[],[]
13,骷髅弓手,0,0,0,0,16798,3,-1,[],[]
14,骷髅弓手,0,0,0,0,7628,3,-1,[],[]
15,骷髅弓手,0,0,0,0,9580,3,-1,[],[]
16,骷髅弓手,0,0,0,0,11407,3,-1,[],[]
17,骷髅弓手,0,0,0,0,13928,3,-1,[],[]
18,骷髅弓手,0,0,0,0,12892,3,-1,[],[]
19,骷髅弓手,0,0,0,0,9476,3,-1,[],[]
20,骷髅弓手,0,0,0,0,2151,3,-1,[],[]
21,骷髅弓手,0,0,0,0,5180,3,-1,[],[]
22,骷髅弓手,0,0,0,0,16869,3,-1,[],[]
23,骷髅弓手,0,0,0,0,20145,3,-1,[],[]
24,骷髅弓手,0,0,0,0,6871,3,-1,[],[]
25,骷髅弓手,0,0,0,0,11107,3,-1,[],[]
26,骷髅弓手,0,0,0,0,16834,3,-1,[],[]
27,骷髅弓手,0,0,0,0,9667,3,-1,[],[]
28,骷髅弓手,0,0,0,0,5637,3,-1,[],[]
29,骷髅弓手,0,0,0,0,20285,3,-1,[],[]
30,骷髅弓手,0,0,0,0,6572,3,-1,[],[]
31,骷髅弓手,0,0,0,0,4661,3,-1,[],[]
32,骷髅弓手,0,0,0,0,5149,3,-1,[],[]
