序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,派发紧随二星狼人1,0,1,0,0,0,1,-1,[],[]
2,派发紧随二星夜刃2,0,1,0,0,0,2,-1,[],[]
3,开场派发夜刃1,0,0,0,0,3000,2,-1,[4],[]
4,前期夜刃1,0,1,0,0,10000,2,-1,[5],[]
5,前期夜刃2,0,1,0,0,14000,2,-1,[6],[]
6,前期夜刃3,0,1,0,0,13000,2,-1,[7+1],[]
7,中期夜刃1,0,1,0,0,15000,2,-1,[8],[]
8,中期夜刃与狼人2,0,1,0,0,14000,2,-1,[9+1],[]
9,中期夜刃3,0,1,0,0,13000,2,-1,[10],[]
10,中期夜刃与狼人4,0,1,0,0,15000,2,-1,[11+1],[]
11,中期夜刃5,0,1,0,0,14000,2,-1,[12],[]
12,中期夜刃与狼人6,0,1,0,0,13000,2,-1,[13+1],[]
13,后期狼人与夜刃1,0,1,0,0,15000,1,-1,[14+2+1],[]
14,后期狼人与夜刃2,0,1,0,0,14000,2,-1,[15+2+1],[]
15,后期狼人与夜刃3,0,1,0,0,13000,1,-1,[16+2+1],[]
16,循环狼人与夜刃1,0,1,0,0,12000,2,-1,[16+2+1],[]
