序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,1000,0,-1,[2],[]
2,幽灵,0,1,0,0,4000,4,3,[3+4],[]
3,火枪,0,1,0,0,13000,1,0,[],[]
4,火枪,0,1,0,0,13000,1,0,[5+6],[]
5,幽灵,0,1,0,0,15000,4,3,[],[]
6,雪女,0,1,0,0,15000,5,0,[7+8+9],[]
7,幽灵,0,1,0,0,13000,4,3,[],[]
8,火枪,0,1,0,0,13000,1,0,[],[]
9,牧师,0,1,0,0,13000,2,1,[10+11],[]
10,幽灵,0,1,0,0,15000,4,0,[],[]
11,雪女,0,1,0,0,15000,5,1,[12],[]
12,圣骑士,0,1,0,0,17000,3,2,[1],[]
13,发兵跳转1,0,0,4,10,1000,0,-1,[14],[]
14,发兵跳转2,0,1,0,0,1000,0,-1,[15],[1+2+4+6+9+11+12]
15,幽灵,0,1,0,0,5000,4,3,[16+17],[]
16,火枪,0,1,0,0,13000,1,0,[],[]
17,火枪,0,1,0,0,13000,1,0,[18+19],[]
18,幽灵,0,1,0,0,13000,4,3,[],[]
19,雪女,0,1,0,0,13000,5,0,[20+21+22],[]
20,幽灵,0,1,0,0,13000,4,3,[],[]
21,火枪,0,1,0,0,13000,1,0,[],[]
22,牧师,0,1,0,0,13000,2,1,[23+24],[]
23,幽灵,0,1,0,0,13000,4,0,[],[]
24,雪女,0,1,0,0,13000,5,1,[25],[]
25,圣骑士,0,1,0,0,15000,3,2,[15],[]
26,死骑,0,0,2,80,1000,6,1,[],[]
27,巫妖,0,0,2,50,1000,7,2,[],[]
