序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,小精灵,0,0,3,3,15000,3,-1,[1],[]
2,精灵弓手,0,0,3,4,16000,4,-1,[2],[]
3,小鹿,0,0,3,5,18000,5,-1,[3],[]
4,狼人,0,0,3,6,28000,1,-1,[4],[]
5,水晶三级夜刃,0,0,3,3,20000,7,-1,[5],[]
6,水晶四级夜刃,0,0,3,4,18000,7,-1,[6],[5]
7,水晶五级夜刃,0,0,3,5,15000,7,-1,[7],[6]
8,水晶6级牛头,0,0,3,6,31000,2,-1,[8],[]
9,水人6级水人,0,0,3,6,39000,6,-1,[9],[]
