序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,勇士,0,0,0,0,15000,1,-1,[],[]
2,铁匠,0,0,0,0,17000,6,-1,[],[]
3,火枪,0,0,0,0,18200,2,-1,[],[]
4,牧师,0,0,0,0,22000,4,-1,[],[]
5,盾卫,0,0,0,0,27000,5,-1,[],[]
6,勇士,0,0,0,0,31000,1,-1,[],[]
7,骑士,0,0,0,0,43000,7,-1,[],[]
8,铁匠,0,0,0,0,47000,6,-1,[],[]
9,盾妹,0,0,0,0,51600,5,-1,[],[]
10,火枪,0,0,0,0,56000,2,-1,[],[]
11,勇士,0,0,0,0,77000,1,-1,[],[]
12,骑士,0,0,0,0,87200,7,-1,[],[]
13,勇士,0,0,0,0,111000,1,-1,[14],[]
14,勇士循环,0,1,0,0,12000,1,-1,[14],[]
15,牧师,0,0,0,0,115000,4,-1,[16],[]
16,牧师循环,0,1,0,0,26000,4,-1,[16],[]
17,铁匠,0,0,0,0,119000,6,-1,[18],[]
18,铁匠循环,0,1,0,0,29000,6,-1,[18],[]
19,骑士,0,0,0,0,128000,7,-1,[20],[]
20,骑士循环,0,1,0,0,56000,7,-1,[20],[]
