序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,野狼1,0,0,0,0,2000,2,0,[],[]
2,野狼1,0,0,0,0,1200,2,1,[],[]
3,野狼1,0,0,0,0,2000,2,2,[],[]
4,野狼1,0,0,0,0,2600,2,1,[],[]
5,野熊2,0,0,0,0,15000,1,-1,[],[]
6,野狼3,0,0,0,0,25000,2,-1,[],[]
7,野狼3,0,0,0,0,25500,2,-1,[],[]
8,野狼3,0,0,0,0,26000,2,-1,[],[]
9,野狼3,0,0,0,0,26500,2,-1,[],[]
10,野狼4,0,0,0,0,40000,2,-1,[],[]
11,野狼4,0,0,0,0,41000,2,-1,[],[]
12,野熊5,0,0,0,0,50000,1,-1,[],[]
13,野狼5,0,0,0,0,51000,2,-1,[],[]
14,野狼5,0,0,0,0,51500,2,-1,[],[]
15,野狼5,0,0,0,0,52000,2,-1,[],[]
16,野狼5,0,0,0,0,52500,2,-1,[],[]
17,野狼6,0,0,0,0,60000,2,-1,[],[]
18,野狼6,0,0,0,0,61000,2,-1,[],[]
