序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,熊开始,0,0,0,0,1000,1,-1,[2+3+4],[]
2,精灵弓手,0,1,0,0,2000,2,-1,[],[]
3,精灵弓手,0,1,0,0,3000,2,-1,[],[]
4,精灵弓手循环,0,1,0,0,15000,2,-1,[1],[]
5,出现刺客,0,0,0,0,30000,3,-1,[6],[]
6,刺客循环,0,1,0,0,15000,3,-1,[5],[]
7,狼人开始,0,0,0,0,42000,4,-1,[8],[]
8,狼人循环,0,1,0,0,500,4,-1,[9],[]
9,狼人循环,0,1,0,0,12000,4,-1,[8],[]
10,牛头人开始,0,0,0,0,110000,5,-1,[11],[]
11,牛头人循环,0,1,0,0,30000,5,-1,[11],[]
