序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,1000,0,-1,[2],[]
2,夜刃,0,1,0,0,5000,6,-1,[3+4+5],[]
3,狼人,0,1,0,0,13000,1,-1,[],[]
4,精灵弓手,0,1,0,0,13000,4,3,[],[]
5,精灵弓手,0,1,0,0,13000,4,3,[6],[]
6,牛头人,0,1,0,0,15000,2,1,[7+8],[]
7,精灵弓手,0,1,0,0,15000,4,3,[],[]
8,小鹿,0,1,0,0,15000,5,-1,[9+10],[]
9,夜刃,0,1,0,0,13000,6,0,[],[]
10,投石车,0,1,0,0,13000,3,2,[1],[]
11,120发兵跳转,0,0,4,10,1000,0,-1,[12],[]
12,发兵跳转,0,1,0,0,1000,0,-1,[13],[1+2+5+8+10]
13,夜刃,0,1,0,0,5000,6,0,[14+15+16],[]
14,狼人,0,1,0,0,12000,1,0,[],[]
15,精灵弓手,0,1,0,0,12000,4,3,[],[]
16,精灵弓手,0,1,0,0,12000,4,3,[17],[]
17,牛头人,0,1,0,0,12000,2,1,[18+19],[]
18,精灵弓手,0,1,0,0,12000,4,3,[],[]
19,小鹿,0,1,0,0,12000,5,-1,[20+21],[]
20,夜刃,0,1,0,0,13000,6,0,[],[]
21,投石车,0,1,0,0,13000,3,2,[12],[]
22,投石车,0,0,2,70,3000,3,2,[],[]
23,投石车,0,0,2,70,3000,3,2,[],[]
24,海巨人,0,0,2,70,1000,7,1,[],[]
25,海巨人,0,0,2,30,1000,7,1,[],[]
