序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,2星勇士,0,0,0,0,9000,1,-1,[2],[]
2,2星勇士,0,1,0,0,6000,1,-1,[2],[]
3,2星矮人,0,0,0,0,6000,2,-1,[4],[]
4,2星矮人,0,1,0,0,9000,2,-1,[4],[]
5,4星骑士1,0,0,2,60,1000,5,-1,[],[]
6,4星骑士2,0,0,2,40,500,5,-1,[],[]
7,4星骑士3,0,0,2,20,500,5,-1,[],[]
8,4星维京人,0,0,0,0,90000,4,-1,[10],[]
9,4星维京人,0,1,0,0,20000,4,-1,[10],[]
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
