序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,150S内骑士循环,0,0,0,0,40000,1,-1,[1],[]
2,150S内牧师循环,0,0,0,0,15000,2,-1,[2],[]
3,150S后精灵弓箭手开启,0,0,0,0,150000,2,-1,[4+5],[1+2]
4,精灵弓箭手循环,0,1,0,0,10000,3,-1,[4],[]
5,精灵弓箭手循环,0,1,0,0,10000,3,-1,[5],[]
6,150S盾妹开启,0,0,0,0,150000,2,-1,[7+8],[]
7,150S盾妹循环,0,1,0,0,14000,4,-1,[7],[]
8,150S盾妹循环2,0,1,0,0,14000,4,-1,[8],[]
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,.,
