序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,狼人首发,0,0,0,0,3000,1,-1,[2],
2,僵尸,0,1,0,0,5000,4,-1,[3],
3,狼人,0,1,0,0,5000,1,-1,[2],
4,屠夫首发,0,0,3,4,3000,5,-1,[5],
5,屠夫,0,1,3,4,25000,5,-1,[5],
6,维京人,0,0,6,4,3500,3,-1,[6],
7,圣骑士,0,0,8,7,3500,2,-1,[7],
8,圣骑士血量条件,0,0,2,50,0,0,-1,[9],
9,圣骑士,0,1,6,6,3500,2,-1,[9],
