序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,强盗,0,0,0,0,30000,1,-1,[1],[]
2,小偷,0,0,0,0,19000,2,-1,[2],[]
3,野猪,0,0,0,0,9000,3,-1,[3],[]
4,强盗,0,0,2,80,2000,1,-1,[5],[]
5,小偷,0,1,0,0,5000,2,-1,[6],[]
6,野猪,0,1,0,0,10000,3,-1,[7],[]
7,小偷,0,1,0,0,13000,2,-1,[8],[]
8,野猪,0,1,0,0,16000,1,-1,[14],[]
9,强盗,0,0,2,50,100,1,-1,[10],[]
10,小偷,0,1,0,0,2000,2,-1,[11],[]
11,野猪,0,1,0,0,5000,3,-1,[12],[]
12,强盗,0,1,0,0,8000,1,-1,[13],[]
13,野猪,0,1,0,0,13000,3,-1,[15],[]
14,强盗,0,1,0,0,30000,1,-1,[14],[]
15,小偷,0,1,0,0,19000,1,-1,[15],[]
