序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,火枪,0,0,0,0,7000,1,-1,[2],[]
2,火枪循环,0,1,0,0,20000,1,-1,[2],[]
3,盾妹,0,0,0,0,3000,2,-1,[4],[]
4,盾妹循环,0,1,0,0,19000,2,-1,[4],[]
5,盗贼,0,0,0,0,5000,3,-1,[6],[]
6,盗贼循环,0,1,0,0,18000,3,-1,[6],[]
7,过场压力勇士,0,0,1,800,6000,4,-1,[8],[]
8,过场压力勇士,0,1,1,800,3000,4,-1,[9],[]
9,过场压力勇士,0,1,1,800,2000,4,-1,[7],[]
10,过场压力火枪,0,0,1,600,22000,1,-1,[10],[]
11,过场压力盗贼,0,0,1,600,18000,3,-1,[10],[]
