序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,勇士,0,0,0,0,9000,1,-1,[],[]
2,火枪,0,0,0,0,12000,2,-1,[],[]
3,盗贼,0,0,0,0,22000,3,-1,[],[]
4,盾妹,0,0,0,0,33000,5,-1,[],[]
5,牧师,0,0,0,0,35000,4,-1,[],[]
6,勇士,0,0,0,0,40000,1,-1,[],[]
7,火枪,0,0,0,0,43000,2,-1,[],[]
8,小鹿,0,0,0,0,47000,6,-1,[],[]
9,盾妹,0,0,0,0,60000,5,-1,[],[]
10,勇士,0,0,0,0,62000,1,-1,[11],[]
11,勇士循环,0,1,0,0,16000,1,-1,[11],[]
12,火枪,0,0,0,0,65000,2,-1,[13],[]
13,火枪循环,0,1,0,0,20200,2,-1,[13],[]
14,盾妹,0,0,0,0,69000,5,-1,[15],[]
15,盾妹循环,0,1,0,0,17200,5,-1,[15],[]
16,牧师,0,0,0,0,100000,4,-1,[],[]
17,小鹿,0,0,0,0,106000,6,-1,[18],[]
18,小鹿循环,0,1,0,0,22000,6,-1,[18],[]
