序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,出场跳转,0,0,0,0,1000,0,-1,[2+3+4],[]
2,僵尸,0,1,0,0,15000,1,-1,[],[]
3,雪女,0,1,0,0,15000,3,-1,[],[]
4,雪女,0,1,0,0,15000,3,-1,[5+6],[]
5,幽灵,0,1,0,0,13000,2,-1,[],[]
6,幽灵,0,1,0,0,13000,2,-1,[7+8],[]
7,屠夫,0,1,0,0,15000,4,-1,[],[]
8,雪女,0,1,0,0,15000,3,-1,[9],[]
9,狼人,0,1,0,0,13000,7,-1,[10],[]
10,死亡骑士,0,1,0,0,15000,5,-1,[1],[]
11,吸血鬼,0,0,2,60,1000,6,-1,[],[]
12,吸血鬼,0,0,2,30,1000,6,-1,[],[]
