序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,出场火枪,0,0,0,0,9000,3,-1,[2],[]
2,火枪循环,0,1,0,0,22000,3,-1,[2],[]
3,出场勇士,0,0,0,0,10000,1,-1,[4],[]
4,勇士循环,0,1,0,0,22000,1,-1,[4],[]
5,出场维京人,0,0,0,0,11000,4,-1,[6],[]
6,维京人循环,0,1,0,0,66000,4,-1,[6],[]
7,血量骑士,0,0,2,80.5,1000,6,-1,[],[]
8,血量骑士,0,0,2,40.5,1000,6,-1,[],[]
9,出场2星牧师,0,0,0,0,11000,5,-1,[10],[]
10,2星牧师循环,0,1,0,0,22000,5,-1,[10],[]
11,3星盗贼出场1,0,0,0,0,36000,2,-1,[12],[]
12,3星盗贼循环,0,1,0,0,22000,2,-1,[12],[]
13,3星盗贼出场1,0,0,0,0,37000,2,-1,[14],[]
14,3星盗贼循环,0,1,0,0,22000,2,-1,[14],[]
15,血量火女,0,0,2,55.5,1000,7,-1,[16],[]
16,血量火女,0,1,0,0,1000,7,-1,[],[]
