序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,盾妹,0,0,0,0,8000,5,-1,[],[]
2,火枪,0,0,0,0,10000,2,-1,[],[]
3,勇士,0,0,0,0,17000,1,-1,[],[]
4,火女,0,0,0,0,23000,6,-1,[],[]
5,盗贼,0,0,0,0,26000,3,-1,[6],[]
6,盗贼循环,0,1,0,0,16000,3,-1,[6],[]
7,盾妹&关闭勇士循环,0,0,0,0,60000,5,-1,[],[6]
8,牧师,0,0,0,0,64000,4,-1,[],[]
9,勇士,0,0,0,0,76000,1,-1,[],[]
10,火女,0,0,0,0,78000,6,-1,[],[]
11,盗贼,0,0,0,0,80000,3,-1,[],[]
12,牧师,0,0,0,0,84200,4,-1,[],[]
13,盾妹,0,0,0,0,88000,5,-1,[14],[]
14,盾妹循环,0,1,0,0,16200,5,-1,[14],[]
15,盗贼,0,0,0,0,92000,3,-1,[16],[]
16,盗贼循环,0,1,0,0,12000,3,-1,[16],[]
17,火女,0,0,0,0,95000,6,-1,[18],[]
18,火女循环,0,1,0,0,26000,6,-1,[18],[]
19,勇士,0,0,0,0,120000,1,-1,[],[]
20,勇士,0,0,0,0,160000,1,-1,[],[]
21,勇士,0,0,0,0,210000,1,-1,[],[]
22,勇士,0,0,0,0,252000,1,-1,[],[]
23,勇士,0,0,0,0,290000,1,-1,[],[]
