序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,派发紧随二星小精灵1,0,1,0,0,0,1,-1,[],[]
2,派发紧随二星精灵弓手2,0,1,0,0,0,2,-1,[],[]
3,派发紧随二星夜刃3,0,1,0,0,0,3,-1,[],[]
4,开场派发夜刃1,0,0,0,0,3000,3,-1,[5],[]
5,前期精灵弓手1,0,1,0,0,10000,2,-1,[6+2],[]
6,前期精灵弓手2,0,1,0,0,13000,2,-1,[7+2+3],[]
7,前期精灵弓手3,0,1,0,0,14000,2,-1,[8+2],[]
8,中期小精灵与精灵弓手1,0,1,0,0,12000,1,-1,[9+2+1+3],[]
9,中期小精灵与精灵弓手2,0,1,0,0,13000,1,-1,[10+2+1+3],[]
10,中期小精灵与精灵弓手3,0,1,0,0,14000,1,-1,[11+2+1+3],[]
11,中期精灵弓手与夜刃4,0,1,0,0,12000,2,-1,[12+3],[]
12,中期精灵弓手与夜刃5,0,1,0,0,13000,2,-1,[13+3+2+1],[]
13,中期精灵弓手与夜刃6,0,1,0,0,14000,2,-1,[14+3],[]
14,后期小精灵与夜刃1,0,1,0,0,12000,1,-1,[15+3+2+1],[]
15,后期小精灵与夜刃2,0,1,0,0,13000,1,-1,[16+3],[]
16,后期小精灵与夜刃3,0,1,0,0,14000,1,-1,[17+3+2+1],[]
17,循环小精灵与精灵弓手与夜刃1,0,1,0,0,10000,2,-1,[17+2+3+1],[]
18,召唤师血量低于50触发夜刃群1,0,0,2,50,0,3,-1,[19],[]
19,召唤师血量低于50触发夜刃群2,0,1,0,0,0,3,-1,[20],[]
20,召唤师血量低于50触发夜刃群3,0,1,0,0,0,3,-1,[21],[]
21,召唤师血量低于50触发夜刃群4,0,1,0,0,0,3,-1,[22],[]
22,召唤师血量低于50触发夜刃群5,0,1,0,0,0,3,-1,[3],[]
