序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,发兵跳转,0,0,0,0,3000,0,-1,[2+3],[]
2,僵尸,0,1,0,0,12000,1,-1,[],[]
3,僵尸,0,1,0,0,12000,1,-1,[4+5],[]
4,幽灵,0,1,0,0,14000,2,-1,[],[]
5,幽灵,0,1,0,0,14000,2,-1,[6+7],[]
6,雪女,0,1,0,0,14000,3,-1,[],[]
7,雪女,0,1,0,0,14000,3,-1,[8+9],[]
8,屠夫,0,1,0,0,14000,4,-1,[],[]
9,屠夫,0,1,0,0,14000,4,-1,[10],[]
10,死骑,0,1,0,0,12000,5,-1,[11+12],[]
11,雪女,0,1,0,0,12000,3,-1,[],[]
12,雪女,0,1,0,0,12000,3,-1,[13],[]
13,巫妖,0,1,0,0,12000,6,-1,[14],[]
14,死骑,0,0,2,80,8000,5,-1,[],[]
15,死骑,0,0,2,80,8000,5,-1,[],[]
16,巫妖,0,0,2,50,8000,6,-1,[],[]
17,巫妖,0,0,2,50,8000,6,-1,[],[]
18,50血跳转发兵,0,0,2,70,1000,0,-1,[19],[1+3+5+7+9+10+12+13+18]
19,发兵跳转,0,1,0,0,1000,0,-1,[20+21],[]
20,僵尸,0,1,0,0,12000,1,-1,[],[]
21,僵尸,0,1,0,0,12000,1,-1,[22+23],[]
22,幽灵,0,1,0,0,13000,2,-1,[],[]
23,幽灵,0,1,0,0,13000,2,-1,[24+25],[]
24,雪女,0,1,0,0,13000,3,-1,[],[]
25,雪女,0,1,0,0,13000,3,-1,[26+27],[]
26,屠夫,0,1,0,0,13000,4,-1,[],[]
27,屠夫,0,1,0,0,13000,4,-1,[28],[]
28,死骑,0,1,0,0,12000,5,-1,[29+30],[]
29,雪女,0,1,0,0,12000,3,-1,[],[]
30,雪女,0,1,0,0,12000,3,-1,[31],[]
31,巫妖,0,1,0,0,12000,6,-1,[32],[]
32,吸血鬼,0,1,0,0,14000,7,-1,[19],[]
