序号,备注,分组,默认是否开启,条件类型,条件类型参数,延迟时间,发兵ID,发兵线路,开启条件ID,关闭条件
主键,,0代表任何分组都要加载,0开启 1关闭,0无条件条件?1位置条件 2电脑英雄血量条件 3水晶等级 4玩家在场士兵数量 5玩家士兵最高星级 6玩家已经派发的士兵数量条件 7玩家已经死亡的士兵数量条件 8电脑已经死亡的士兵数量条件,无效 多少距离 多少百分比 几级 几个 几级 几个 几个 几个,,,,,
,Null,,,,,,,,,
index,null,int,bool,int,int,int,int,int,json,json
1,僵尸首发,0,0,0,0,3000,2,-1,[2],[1]
2,僵尸,0,1,0,0,18000,2,-1,[3],
3,黑熊,0,1,0,0,15000,3,-1,[2],[3]
4,夜刃首发,0,1,9,22,3000,5,-1,[5],
5,夜刃,0,1,9,22,20000,5,-1,[5],
6,狼人首发,0,0,3,2,3000,1,-1,[7],
7,狼人,0,1,3,2,15000,1,-1,[7],
8,维京人首发,0,0,3,4,5000,4,-1,[9],
9,维京人,0,1,3,4,10000,4,,[10],
10,维京人2,0,1,3,4,3000,4,-1,[9],
